;Python;Math;En
0;;138;74
1;131.00000;75;126
2;148.00000;80;19
3;38.00000;11;97
4;70.00000;81;20
5;91.00000;148;12
6;36.00000;123;22
7;83.00000;71;25
8;30.00000;108;32
9;48.00000;76;34
10;32.00000;77;62
11;104.00000;129;27
12;50.00000;107;83
13;80.00000;26;77
14;141.00000;78;7
15;74.00000;96;59
16;90.00000;77;129
17;110.00000;141;100
18;51.00000;148;66
19;84.00000;125;49
20;5.00000;92;44
21;112.00000;102;0
22;15.00000;131;102
23;147.00000;47;71
24;79.00000;113;29
25;14.00000;39;6
26;84.00000;64;7
27;20.00000;146;10
28;104.00000;65;121
29;117.00000;1;129
30;93.00000;95;43
31;77.00000;8;74
32;43.00000;132;66
33;114.00000;19;131
34;112.00000;43;121
35;69.00000;61;94
36;45.00000;18;122
37;40.00000;120;19
38;23.00000;23;65
39;5.00000;110;92
40;80.00000;80;78
41;128.00000;114;32
42;85.00000;67;80
43;144.00000;31;97
44;124.00000;35;134
45;119.00000;74;131
46;38.00000;43;98
47;32.00000;90;5
48;68.00000;124;148
49;70.00000;20;27
50;36.00000;110;98
51;87.00000;117;4
52;111.00000;32;84
53;65.00000;81;144
54;94.00000;95;55
55;29.00000;135;98
56;68.00000;64;60
57;25.00000;93;45
58;62.00000;23;19
59;106.00000;37;112
60;103.00000;45;70
61;90.00000;19;93
62;111.00000;147;48
63;35.00000;85;13
64;78.00000;143;115
65;24.00000;146;53
66;48.00000;94;95
67;109.00000;105;72
68;142.00000;21;13
69;21.00000;8;52
70;29.00000;34;27
71;30.00000;46;114
72;110.00000;74;58
73;85.00000;100;149
74;30.00000;93;35
75;137.00000;86;149
76;130.00000;92;58
77;138.00000;52;28
78;112.00000;131;55
79;78.00000;96;91
80;106.00000;1;103
81;11.00000;23;130
82;103.00000;2;121
83;4.00000;43;91
84;64.00000;53;14
85;49.00000;9;9
86;129.00000;88;28
87;32.00000;94;2
88;122.00000;61;25
89;1.00000;24;15
90;10.00000;95;40
91;149.00000;7;113
92;122.00000;55;75
93;76.00000;133;76
94;119.00000;58;96
95;40.00000;58;84
96;147.00000;38;86
97;5.00000;144;68
98;107.00000;86;102
99;21.00000;102;93
